| | | | [P2 M:5 W/V: 88/583 %_win: 0.15, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 104/572 %_win: 0.18, SFB: -1.00, U: 0]
| | | [P1 M:6 W/V: 1527/1747 %_win: 0.87, SFB: 0.87, U: 0]
| | | | [P2 M:2 W/V: 0/907 %_win: 0.00, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 219/839 %_win: 0.26, SFB: -1.00, U: 0]
| | | [P1 M:5 W/V: 1692/1692 %_win: 1.00, SFB: 1.00, U: 0]
| | [P2 M:2 W/V: 264/5006 %_win: 0.05, SFB: 0.00, U: 0]
| | | [P1 M:6 W/V: 1132/1266 %_win: 0.89, SFB: 0.89, U: 0]
| | | | [P2 M:0 W/V: 0/433 %_win: 0.00, SFB: -1.00, U: 0]
| | | | [P2 M:2 W/V: 67/408 %_win: 0.16, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 67/424 %_win: 0.16, SFB: -1.00, U: 0]
| | | [P1 M:0 W/V: 1144/1274 %_win: 0.90, SFB: 0.90, U: 0]
| | | | [P2 M:2 W/V: 66/423 %_win: 0.16, SFB: -1.00, U: 0]
| | | | [P2 M:6 W/V: 0/429 %_win: 0.00, SFB: -1.00, U: 0]
| | | | [P2 M:5 W/V: 64/421 %_win: 0.15, SFB: -1.00, U: 0]
| | | [P1 M:2 W/V: 1226/1226 %_win: 1.00, SFB: 1.00, U: 0]
| | | [P1 M:5 W/V: 1239/1239 %_win: 1.00, SFB: 1.00, U: 0]
